iter	Passed	Remaining
380	1767	2871
381	1770	2864
382	1778	2864
383	1782	2858
384	1785	2852
385	1793	2852
386	1796	2846
387	1800	2839
388	1807	2839
389	1811	2832
390	1814	2826
391	1817	2819
392	1824	2817
393	1828	2812
394	1831	2805
395	1835	2799
396	1839	2793
397	1847	2793
398	1851	2788
399	1855	2782
400	1858	2776
401	1863	2772
402	1867	2766
403	1872	2762
404	1877	2758
405	1881	2752
406	1885	2746
407	1889	2741
408	1892	2735
409	1896	2729
410	1899	2722
411	1904	2717
412	1908	2711
413	1911	2705
414	1914	2699
415	1919	2695
416	1923	2689
417	1926	2682
418	1930	2676
419	1935	2673
420	1939	2667
421	1943	2661
